Eb/N0;BER DPCCH;BER HS_DPCCH;BER E_DPCCH;BER E_DPDCH1;BER E_DPDCH2;BER E_DPDCH3;BER E_DPDCH4
-20;0.306667;0.152;0.306667;0.405531;0.407219;0.4375;0.431063
-18;0.265714;0.0990476;0.278095;0.384844;0.383266;0.420804;0.416473
-16;0.214667;0.0486667;0.214667;0.356203;0.355521;0.400698;0.402042
-14;0.161333;0.0293333;0.144;0.324937;0.324406;0.378667;0.380271
-12;0.114;0.008;0.104;0.291083;0.289677;0.348552;0.354448
-10;0.082;0.002;0.0733333;0.251542;0.254448;0.325656;0.325927
-8;0.0493333;0.000666667;0.054;0.215;0.217208;0.294802;0.296198
-6;0.032;0;0.0306667;0.180745;0.18263;0.269458;0.270281
-4;0.0146667;0;0.0173333;0.154193;0.155766;0.244573;0.249177
-2;0.012;0;0.01;0.131542;0.134479;0.227979;0.231448
0;0.00866667;0;0.00466667;0.115161;0.120469;0.216115;0.216021
2;0.00666667;0;0.006;0.10513;0.109448;0.205625;0.210625
4;0.00533333;0;0.000666667;0.0978906;0.102281;0.19576;0.202906
6;0.00333333;0;0.004;0.093401;0.0965625;0.194604;0.197719
